epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,576.905,0.28617,2.64257,1.04593,0.66354,0.65646,0.72182,0.71122,0.33312,2.49306,0.68543,0.000253318,0.000253318,0.000253318
2,1082.42,0.14297,1.31255,0.91095,0.86686,0.7822,0.90647,0.90038,0.23927,1.73771,0.55256,0.000341466,0.000341466,0.000341466
3,1564.9,0.12398,1.05466,0.90994,0.85876,0.93203,0.95775,0.95775,0.20106,1.24989,0.51287,0.000260435,0.000260435,0.000260435
