epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.45,0.38982,2.36426,1.09049,0.0034,1,0.42464,0.41983,0.33763,2.87818,0.65142,0.00038583,0.00038583,0.00038583
2,301.07,0.20444,1.56174,0.94126,0.38389,0.95669,0.53649,0.53407,0.27889,2.2709,0.59481,0.000630332,0.000630332,0.000630332
3,445.562,0.18448,1.35014,0.90552,0.59657,0.78889,0.83004,0.82094,0.22809,2.02332,0.51161,0.000716386,0.000716386,0.000716386
4,588.596,0.17556,1.15264,0.9087,0.73635,0.80957,0.83214,0.82835,0.18937,2.53867,0.46723,0.000580174,0.000580174,0.000580174
5,729.666,0.13749,1.12238,0.90025,0.70461,0.70471,0.80766,0.8046,0.16652,1.93357,0.46726,0.000297232,0.000297232,0.000297232
